,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
44,N/A,N/A,arg,N/A,N/A,N/A,N/A,N/A,118.80,21.72,1.50,3.78,7.00,12.27,6.88,1.5,70.85,7950000000.0,10350000000.0,19.92,2.21,1.96,10.67,1.96,2820000000.0,1.5,368720000.0,4.87,12.60,7.20,73590000.0,0.98,2480000000.0,1.21,27.79,105.78,1.5,9.93,83.30,1470000.0,3.20,2.20,1700000.0,N/A
45,N/A,N/A,arna,N/A,N/A,N/A,N/A,N/A,149.41,N/A,28.15,20.05,163.67,284.75,21.36,1.5,0.17,1080000000.0,984450000.0,N/A,N/A,26.63,10.24,26.63,29210000.0,1.5,60510000.0,0.28,N/A,41.10,163210000.0,0.68,70740000.0,2.70,0.22,4.46,1.5,0.46,46.60,34250000.0,6.10,18.20,33760000.0,N/A
46,N/A,N/A,aro,N/A,N/A,N/A,N/A,N/A,148.09,N/A,0.15,2.88,11.23,6.70,13.29,1.5,23.32,279310000.0,266240000.0,N/A,N/A,0.14,3.67,0.14,357360000.0,1.5,206460000.0,2.62,N/A,11.40,151750000.0,1.92,138540000.0,1.76,1.18,3.53,1.5,17.22,86.50,12560000.0,5.60,21.00,12000000.0,N/A
47,N/A,N/A,ati,N/A,N/A,N/A,N/A,N/A,56.11,N/A,0.76,1.24,0.06,2.53,0.99,1.5,39.43,3320000000.0,4580000000.0,12.18,1.62,1.08,16.14,1.08,378600000.0,1.5,2000000.0,0.03,N/A,N/A,269500000.0,2.48,1530000000.0,2.59,23.90,30.57,1.5,1.02,79.50,5290000.0,6.00,4.90,5460000.0,N/A
48,N/A,N/A,atvi,N/A,N/A,N/A,N/A,N/A,59.78,20.04,3.68,2.24,18.94,26.84,5.14,1.5,6.16,16370000000.000002,15830000000.0,N/A,N/A,3.59,12.44,3.59,2880000000.0,1.5,817000000.0,1.13,108.70,3.80,4860000000.0,6.72,4320000000.0,2.55,10.02,22.64,1.5,30.65,60.70,19250000.0,3.50,4.20,21050000.0,N/A
49,N/A,N/A,avb,N/A,N/A,N/A,N/A,N/A,72.41,33.55,12.61,2.52,37.74,41.16,2.96,1.5,13.87,23070000000.0,29130000000.0,21.98,2.27,16.08,24.51,16.08,1690000000.0,1.5,643860000.0,5.21,43.40,10.00,509460000.0,3.86,6560000000.0,0.73,68.51,174.74,1.5,0.43,98.80,3380000.0,4.00,N/A,4050000.0,N/A
50,N/A,N/A,avp,N/A,N/A,N/A,N/A,N/A,851.95,N/A,0.39,11.77,4.39,7.36,6.79,1.5,20.37,3460000000.0,5080000000.0,11.23,3.56,0.57,6.50,0.57,5350000000.0,1.5,383900000.0,0.88,N/A,12.20,981500000.0,2.26,2600000000.0,1.45,0.67,7.97,1.5,0.10,96.30,81630000.0,6.90,21.10,73710000.0,N/A
51,N/A,N/A,avy,N/A,N/A,N/A,N/A,N/A,107.79,20.41,0.76,4.49,3.93,7.83,6.91,1.5,67.49,4800000000.0,5700000000.0,14.21,1.88,0.90,8.62,0.90,1650000000.0,1.5,251100000.0,2.60,66.00,1.30,244100000.0,2.70,1150000000.0,1.20,11.79,53.00,1.5,0.45,89.30,3080000.0,5.80,3.40,4830000.0,N/A
52,N/A,N/A,axp,N/A,N/A,N/A,N/A,N/A,300.31,14.33,2.49,3.89,18.25,26.57,3.77,1.5,30.86,81230000000.0,120310000000.0,13.79,1.50,3.73,N/A,3.73,N/A,1.5,5840000000.0,5.56,10.60,5.70,23000000000.0,22.57,62080000000.0,2.09,20.27,79.70,1.5,0.17,84.50,11700000.0,1.10,1.40,10600000.0,N/A
53,N/A,N/A,azo,N/A,N/A,N/A,N/A,N/A,N/A,20.49,2.26,N/A,11.32,19.18,15.44,1.5,302.91,21980000000.0,26280000000.0,17.12,1.45,2.68,12.24,2.68,4930000000.0,1.5,1110000000.0,33.63,9.80,7.70,151540000.0,4.75,4450000000.0,0.85,46.04,689.11,1.5,1.07,95.20,2100000.0,7.40,7.50,2160000.0,N/A
54,N/A,N/A,ba,N/A,N/A,N/A,N/A,N/A,103.19,20.23,1.15,12.12,6.00,7.93,4.69,1.5,124.74,105150000000.0,101170000000.0,16.16,1.38,1.12,11.12,1.12,14010000000.0,1.5,5440000000.0,7.38,18.90,2.90,13050000000.0,18.53,9070000000.0,1.20,12.26,149.28,1.5,0.08,9.90,14970000.0,3.20,2.60,13310000.0,N/A
55,N/A,N/A,bac,N/A,N/A,N/A,N/A,N/A,N/A,43.17,1.98,0.72,5.90,29.51,0.23,1.5,7.79,163430000000.0,218870000000.0,9.48,1.31,2.67,N/A,2.67,N/A,1.5,3790000000.0,0.36,11.30,12.50,471470000000.0,44.83,522500000000.0,N/A,21.32,15.54,1.5,0.04,60.70,83210000.0,0.90,0.80,88460000.0,N/A
56,N/A,N/A,bax,N/A,N/A,N/A,N/A,N/A,114.09,14.89,2.20,4.51,14.98,19.62,8.00,1.5,30.76,36900000000.0,43270000000.0,N/A,N/A,2.60,10.12,2.60,8160000000.0,1.5,1950000000.0,4.57,192.30,3.50,2930000000.0,5.39,9300000000.0,1.71,14.97,68.00,1.5,0.15,83.10,16670000.000000002,4.30,3.10,16840000.0,N/A
57,N/A,N/A,bbby,N/A,N/A,N/A,N/A,N/A,47.03,15.54,1.18,4.36,8.25,13.19,13.95,1.5,60.52,13980000000.0,14300000000.0,14.14,1.95,1.22,8.00,1.22,4570000000.0,1.5,969710000.0,4.94,5.00,2.70,1180000000.0,6.48,1500000000.0,2.29,17.53,76.80,1.5,8.10,88.40,12990000.0,7.80,6.60,12710000.0,N/A
58,N/A,N/A,bbry,N/A,N/A,N/A,N/A,N/A,49.75,N/A,1.27,1.39,9.12,0.63,0.19,1.5,6.32,4720000000.0,3600000000.0,N/A,2.08,1.08,5.35,1.08,1600000000.0,1.5,304000000.0,0.58,N/A,32.40,2890000000.0,5.47,1710000000.0,3.06,6.39,9.04,1.5,4.99,56.60,95570000.0,9.80,N/A,88270000.0,N/A
59,N/A,N/A,bbt,N/A,N/A,N/A,N/A,N/A,N/A,14.17,3.12,1.28,24.15,38.07,1.20,1.5,12.40,28080000000.0,51940000000.0,11.46,2.02,5.83,N/A,5.83,N/A,1.5,2000000000.0,2.75,3.50,1.40,3180000000.0,4.41,27030000000.0,N/A,30.16,38.96,1.5,0.38,60.60,18400000.0,5.10,2.60,18910000.0,N/A
60,N/A,N/A,bby,N/A,N/A,N/A,N/A,N/A,32.42,10.94,0.32,2.61,3.06,3.68,6.34,1.5,115.42,13420000000.0,N/A,13.32,1.21,N/A,N/A,N/A,9690000000.0,1.5,1250000000.0,3.49,N/A,N/A,3890000000.0,11.04,1620000000.0,1.51,14.24,38.22,1.5,18.23,77.20,22820000.0,4.60,9.40,21350000.0,N/A
61,N/A,N/A,bcr,N/A,N/A,N/A,N/A,N/A,81.99,44.66,3.69,6.86,8.86,24.46,10.03,1.5,43.96,12470000000.0,12990000000.0,16.88,1.62,3.91,13.27,3.91,2060000000.0,1.5,289700000.0,3.76,79.90,9.60,960100000.0,12.93,1480000000.0,3.33,24.10,167.93,1.5,0.40,94.00,2190000.0,3.80,3.00,2230000.0,N/A
